nombre_crudo,nombre_canonico
ALBATROS,ALBATROS
ALMAFUERTE,ALMAFUERTE
ARECO,ARECO
AT.CHASCOMUS,ATLETICO CHASCOMUS
AT.Y PROGRESO,ATLÉTICO Y PROGRESO
ATLETICO CHASCOMUS,ATLETICO CHASCOMUS
ATLETICO SAN ANDRES,ATLETICO SAN ANDRES
ATLÉTICO Y PROGRESO,ATLÉTICO Y PROGRESO
BANCO HIPOTECARIO,BANCO HIPOTECARIO
BANCO NACIÓN,BANCO NACIÓN
BARADERO,TF BARADERO
BERAZATEGUI,BERAZATEGUI
BERISSO,BERISSO
BEROMAMA,BEROMAMA
CAMPANA,CAMPANA
CAR,CAR
CASA DE PADUA,CASA DE PADUA
CASA de PADUA,CASA DE PADUA
CENTRO NAVAL,CENTRO NAVAL
CHASCOMUS,ATLETICO CHASCOMUS
CIUDAD BS.AS.,CIUDAD DE BS.AS.
CIUDAD DE BS.AS.,CIUDAD DE BS.AS.
CIUDAD DE BUENOS AIRES,CIUDAD DE BS.AS.
CLUB ITALIANO,CLUB ITALIANO
CUQ,CUQ
DAOM,DAOM
DEF.DE GLEW,DEF.DE GLEW
DEL SUR,DEL SUR
DELTA,DELTA
DON BOSCO,DON BOSCO
EL RETIRO,EL RETIRO
EZEIZA,EZEIZA
FLORESTA,FLORESTA
GEBA,GEBA
GEI,GEI
HURLING,HURLING
ITALIANO,CLUB ITALIANO
LA SALLE,LA SALLE
LANUS,LANUS
LANÚS,LANUS
LAS CAÑAS,LAS CAÑAS
LAS HERAS,LAS HERAS
LICEO MILITAR,LICEO MILITAR
LICEO NAVAL,LICEO NAVAL
LOS CEDROS,LOS CEDROS
LOS PINOS,LOS PINOS
LUJAN,LUJAN
LUJÁN,LUJAN
MANUEL BELGRANO,MANUEL BELGRANO
MARIANO MORENO,MARIANO MORENO
MERCEDES,MERCEDES
MONTE GRANDE,MONTE GRANDE
MUNICIPALIDAD VICENTE LOPEZ,VICENTE LOPEZ
OBRAS SANITARIAS,OBRAS SANITARIAS
OLD GEORGIAN,OLD GEORGIAN
PORTEÑO,PORTEÑO
RETIRO,EL RETIRO
SAN ANDRES,SAN ANDRES
SAN FERNANDO,SAN FERNANDO
SAN JOSE,SAN JOSE
SAN MARCOS,SAN MARCOS
SAN MARTIN,SAN MARTIN
SAN MARTÍN,SAN MARTIN
SAN CARLOS,SAN CARLOS
SAN MIGUEL,SAN MIGUEL
SAN PATRICIO,SAN PATRICIO
SITAS,SITAS
ST BRENDANS,ST BRENDAN'S
ST BRENDAN´S,ST BRENDAN'S
ST.BRENDAN'S,ST BRENDAN'S
ST.BRENDAN´S,ST BRENDAN'S
ST.BRENDANS,ST BRENDAN'S
TF BARADERO,TF BARADERO
TIGRE,TIGRE
TIRO FEDERAL S.P.,TIRO FEDERAL SAN PEDRO
TIRO FEDERAL SAN PEDRO,TIRO FEDERAL SAN PEDRO
U.DE LA PLATA,U.DE LA PLATA
VICENTE LOPEZ,VICENTE LOPEZ
VICENTINOS,VICENTINOS
VIRREYES,VIRREYES
ZARATE,ZARATE
