nombre_crudo,nombre_canonico
AGUSTIN DOMINGUEZ,AGUSTIN DOMINGUEZ
AGUSTIN MARZIALI,AGUSTIN MARZIALI
AGUSTIN TRAYNOR,AGUSTIN TRAYNOR
AGUSTÍN DOMÍNGUEZ,AGUSTIN DOMINGUEZ
AGUSTÍN MARZIALI,AGUSTIN MARZIALI
AGUSTÍN TRAYNOR,AGUSTIN TRAYNOR
ALEJO BALBI,ALEJO BALBI
ALEJO BUSTAMANTE,ALEJO BUSTAMANTE
ALEJO VELAZQUEZ,ALEJO BUSTAMANTE
ANDRES BIRELLO,ANDRES BIRELLO
ANDRÉS BUSTAMANTE,ANDRÉS BUSTAMANTE
AUGUSTO GALLOTTI,AUGUSTO GALLOTTI
AUGUSTO ROVETTA,AUGUSTO ROVETTA
AXEL OBREGÓN,AXEL OBREGÓN
CHRISTIAN MONZON,CHRISTIAN MONZON
CHRISTIAN MONZÓN,CHRISTIAN MONZON
CHRISTIAN PAREDES,CHRISTIAN PAREDES
CRISTIAN PAREDES,CHRISTIAN PAREDES
CRISTIAN SÁNCHEZ,CRISTIAN SÁNCHEZ
EMILIANO MANRIQUEZ,EMILIANO MANRIQUEZ
EMILIO CHAVES,EMILIO CHAVES
ENZO CORSI,ENZO CORSI
ESTEBAN GONZALEZ,ESTEBAN GONZALEZ
ESTEBAN GONZÁLEZ,ESTEBAN GONZALEZ
ESTEBAN GONZÄLEZ,ESTEBAN GONZALEZ
EZEQUIEL ARIAS,EZEQUIEL ARIAS
EZEQUIEL ARIAS POR MATIAS TRAYNOR,EZEQUIEL ARIAS POR MATIAS TRAYNOR
EZEQUIEL BALESTRA,EZEQUIEL BALESTRA
EZEQUIEL VAZQUEZ,EZEQUIEL VAZQUEZ
FACUNDO BUSTOS,FACUNDO BUSTOS
FEDERICO FERRARI,FEDERICO FERRARI
FEDERICO MARTINEZ,FEDERICO MARTINEZ
FEDERICO MARTÍNEZ,FEDERICO MARTINEZ
FEDERICO PITTALA,FEDERICO PITTALA
FERNANDO POCIELLO ARGERICH,FERNANDO POCIELLO ARGERICH
FRANCISCO COMABELLA,FRANCISCO COMABELLA
FRANCISCO COMABELLA POR OCTAVIO TALLARICO,FRANCISCO COMABELLA POR OCTAVIO TALLARICO
FRANCISCO OCCHIUZZI,FRANCISCO OCCHIUZZI
FRANCO CICHERO,FRANCO CICHERO
FRANCO CORSI,FRANCO CORSI
FRANCO POPICA,FRANCO POPICA
FRANCO RODRIGUEZ,FRANCO RODRIGUEZ
FRANCO RODRÍGUEZ,FRANCO RODRIGUEZ
FRANCO TORRES,FRANCO TORRES
GABRIEL RUBIRA,GABRIEL RUBIRA
GERÓNIMO RÍOS,GERÓNIMO RÍOS
GIANFRANCO GUGLIOTTI,GIANFRANCO GUGLIOTTI
GONZALO BURGARDT,GONZALO BURGARDT
GONZALO GREGORIO,GONZALO GREGORIO
GONZALO GÓMEZ ARRÚA,GONZALO GÓMEZ ARRÚA
GONZALO MARTINEZ,GONZALO MARTINEZ
GOZNALO GREGORIO,GONZALO GREGORIO
GUIDO LIVACHOFF,GUIDO LIVACHOFF
GUIDO LIVACHOFF X GONZALO GREGORIO,GUIDO LIVACHOFF X GONZALO GREGORIO
HUGO PEDEMONTE,HUGO PEDEMONTE
HUGO PEDEMONTE (temporario),HUGO PEDEMONTE
IAN MARTÍNEZ OLIVER,IAN MARTÍNEZ OLIVER
IGNACIO TORRES,IGNACIO TORRES CIUTAT
IGNACIO TORRES CIUTAT,IGNACIO TORRES CIUTAT
IGNACIO TORRESO CIUTAT,IGNACIO TORRES CIUTAT
IGNACIO TORTORELLA,IGNACIO TORTORELLA
IVAN CARMONA,IVAN CARMONA
IVAN IBAÑEZ,IVAN IBAÑEZ
IVAN IVAÑEZ,IVAN IBAÑEZ
JOAQUIN TRAYNOR,JOAQUIN TRAYNOR
JOAQUÍN TRAYNOR,JOAQUIN TRAYNOR
JOAQUÏN TRAYNOR,JOAQUIN TRAYNOR
JORGE BENIITEZ,JORGE BENÍTEZ
JORGE BENITEZ,JORGE BENÍTEZ
JORGE BENÍTEZ,JORGE BENÍTEZ
JORGE SEIB,JORGE SEIB
JOSE GRUBER,JOSE GRUBER
JOSÉ GRUBER,JOSE GRUBER
JUAN CANTEROS,JUAN CANTEROS
JUAN GARGANO,JUAN GARGANO
JUAN GONZALEZ,JUAN IGNACIO GONZALEZ
JUAN I GONZALEZ,JUAN IGNACIO GONZALEZ
JUAN I. GONZALEZ,JUAN IGNACIO GONZALEZ
JUAN I.GONZALEZ,JUAN IGNACIO GONZALEZ
JUAN I.VAZQUEZ,JUAN IGNACIO VAZQUEZ
JUAN IGNACIO GONZALEZ,JUAN IGNACIO GONZALEZ
JUAN IGNACIO VAZQUEZ,JUAN IGNACIO VAZQUEZ
JUAN IGNACIO VÁZQUEZ,JUAN IGNACIO VAZQUEZ
JUAN JOSE MONEA,JUAN JOSE MONEA
JUAN M.GARGANO,JUAN GARGANO
JUAN MARTÍN TURKOWSKY,JUAN MARTÍN TURKOWSKY
JUAN MATIAS TRAYNOR,JUAN MATIAS TRAYNOR
JUAN MATÍAS TRAYNOR,JUAN MATIAS TRAYNOR
JUAN O.OCCHIUZZI,JUAN PEDRO OCCHIUZZI
JUAN P.BIANCHI,JUAN PABLO BIANCHI
JUAN P.OCCHIUZZI,JUAN PEDRO OCCHIUZZI
JUAN PABLO BIANCHI,JUAN PABLO BIANCHI
JUAN PABLO GAUTO,JUAN PABLO GAUTO
JUAN PABLO OCCHIUZZI,JUAN PABLO OCCHIUZZI
JUAN PEDRO OCCHIUZZI,JUAN PEDRO OCCHIUZZI
JUAN i. VAZQUEZ,JUAN IGNACIO VAZQUEZ
LAUTARO ALCARAZ,LAUTARO ALCARAZ
LUCAS MORON,LUCAS MORON
LUCAS MORÓN,LUCAS MORON
LUCIANO JAR,LUCIANO JAR
MANUEL ALTAMIRANO,MANUEL ALTAMIRANO
MARIAN CETTOUR,MARIANO CETTOUR
MARIANO CETTOUR,MARIANO CETTOUR
MATIANO CETTOUR,MARIANO CETTOUR
MARIANO GONZALEZ,MARIANO GONZALEZ
MARIANO LIOVACHOFF,MARIANO LIVACHOFF
MARIANO LIVACHOFF,MARIANO LIVACHOFF
MARIANO TRAYNOR,MARIANO TRAYNOR
MARTIN APOLO,MARTIN APOLO
MATIAS AGUERRONDO,MATIAS AGUERRONDO
MATIAS ALTAMIRANO,MATIAS ALTAMIRANO
MATIAS BOCO,MATIAS BOCO
MATIAS HERNANDO,MATIAS HERNANDO
MATIAS TRAYNOR,MATIAS TRAYNOR
MATÏAS COMPANYS,MATÍAS COMPANYS
MATÍAS AGUERRONDO,MATIAS AGUERRONDO
MATÍAS COMPANYS,MATÍAS COMPANYS
MATÍAS TRAYNOR,MATIAS TRAYNOR
MATÏAS AGUERRONDO,MATIAS AGUERRONDO
MAURO CHIRINO,MAURO CHIRINO
MAXIMILIANO SOLIVELLAS,MAXIMILIANO SOLIVELLAS
MAXIMILIANO SOLIVELLAS (temp),MAXIMILIANO SOLIVELLAS
MIGUEL ALMIRÓN,MIGUEL ALMIRÓN
NICOLAS ALTAMIRAMO,NICOLAS ALTAMIRANO
NICOLAS ALTAMIRANO,NICOLAS ALTAMIRANO
NICOLAS COMPANYS,NICOLAS COMPANYS
NICOLAS CUPO,NICOLAS CUPO
NICOLAS DOMINGUEZ,NICOLAS DOMINGUEZ
NICOLAS MARZIALI,NICOLAS MARZIALI
NICOLÁS ALTAMIRANO,NICOLAS ALTAMIRANO
NICOLÁS CABRERA,NICOLÁS CABRERA
NICOLÁS LOZANO,NICOLÁS LOZANO
NICOLÁS MARZIALI,NICOLAS MARZIALI
NICOLÁS MATALLANA,NICOLÁS MATALLANA
OCTAVIO TALLARICO,OCTAVIO TALLARICO
PABLO FEREIRA,PABLO FERREIRA
PABLO FERREIRA,PABLO FERREIRA
PATRICIO TRAYNOR,PATRICIO TRAYNOR
PEDRO MONTENEGRO,PEDRO MONTENEGRO
PEDRO MOTENEGRO,PEDRO MONTENEGRO
PENAL,PENAL
RAMIRO OCCCHIUZZI,RAMIRO OCCHIUZZI
RAMIRO OCCHIUZZI,RAMIRO OCCHIUZZI
REUBICACION GRUPO III,REUBICACION GRUPO III
RODRIGO ESMAYEL,RODRIGO ESMAYEL
RODRIGO GOMEZ,RODRIGO GOMEZ
RODRIGO GÓMEZ,RODRIGO GOMEZ
RODRIGO RIOS,RODRIGO RIOS
RODRIGO RÍOS,RODRIGO RIOS
ROJA,ROJA
SANTIAGO DIAZ,SANTIAGO DIAZ
SANTIAGO DOMINGUEZ,SANTIAGO DOMINGUEZ
SANTIAGO QUAGLIATA,SANTIAGO QUAGLIATA
SANTIAGO TRAYNOR,SANTIAGO TRAYNOR
SANTINO GEREZ,SANTINO GEREZ
SCRUM,SCRUM
SEBASTIAN GAUNA,SEBASTIAN GAUNA
THIAGO GÓMEZ,THIAGO GÓMEZ
THOMAS TEVES,THOMAS TEVES
TOBIAS LUCERO,TOBIAS LUCERO
TOBÍAS LUCERO,TOBIAS LUCERO
TOBÍAS LULCERO,TOBIAS LUCERO
TOBÏAS LUCERO,TOBIAS LUCERO
TOMAS BIANCHI,TOMÁS BIANCHI
TOMAS DOMINGUEZ,TOMAS DOMINGUEZ
TOMAS MURACA,TOMAS MURACA
TOMÁS BIANCHI,TOMÁS BIANCHI
TOMÁS PARRA,TOMÁS PARRA
TRY PENAL,TRY PENAL
TRY SCRUM,TRY SCRUM
WALTER PRETZ,WALTER PRETZ
