temporada,torneo,posicion,ranking_urba,campeon,ascenso,descenso,nota
2014,Grupo IV,,59,false,true,false,
2015,Grupo IV,,58,false,true,false,
2016,Grupo III,,48,false,true,false,
2017,Primera C,9,49,false,false,false,
2018,Primera C,6,46,false,false,false,
2019,Primera C,9,49,false,false,false,
2020,,,,false,false,false,Pandemia
2021,Primera C,1,41,true,true,false,
2022,Primera B,13,41,false,false,true,
2023,Primera C,5,45,false,false,false,
2024,Primera C,9,49,false,false,false,
2025,Primera C,1,40,true,true,false,
2026,Primera B,,,false,false,false,En curso
